id,name,component,component_id,primary_factor,primary_loading,primary_loading_abs,secondary_factor,secondary_loading,secondary_loading_abs,loading_gap_abs,weak_primary,cross_loading
h24,Express my affection physically.,Positive Expressivity,positive_expressivity,PA1,0.5353167565475513,0.5353167565475513,PA7,0.3413852292449385,0.3413852292449385,0.19393152730261276,FALSE,TRUE
a5,Laugh out loud if something is funny.,Positive Expressivity,positive_expressivity,PA7,0.4904273059334439,0.4904273059334439,PA1,0.27228011362116644,0.27228011362116644,0.21814719231227747,FALSE,FALSE
a7,Express my happiness in a childlike manner.,Positive Expressivity,positive_expressivity,PA7,0.4229947733184038,0.4229947733184038,PA3,0.29448489868387767,0.29448489868387767,0.12850987463452612,FALSE,FALSE
a48,Sometimes laugh out loud when reading or watching TV.,Positive Expressivity,positive_expressivity,PA7,0.4595366202792533,0.4595366202792533,PA6,0.1866512305026718,0.1866512305026718,0.2728853897765815,FALSE,FALSE
a79,Hug my close friends.,Positive Expressivity,positive_expressivity,PA1,0.6136337982316752,0.6136337982316752,PA7,0.4692794773575339,0.4692794773575339,0.1443543208741413,FALSE,TRUE
a139,Show my feelings when I'm happy.,Positive Expressivity,positive_expressivity,PA7,0.65300339522075,0.65300339522075,PA1,0.5588666984277476,0.5588666984277476,0.0941366967930024,FALSE,TRUE
a4,Find it difficult showing people that I care about them.,Positive Expressivity,positive_expressivity,PA1,0.6530004704239549,0.6530004704239549,PA7,0.3160900959376955,0.3160900959376955,0.33691037448625943,FALSE,TRUE
a132,Have difficulty showing affection.,Positive Expressivity,positive_expressivity,PA1,0.7538917505506108,0.7538917505506108,PA7,0.41071853998951646,0.41071853998951646,0.3431732105610943,FALSE,TRUE
a84,Keep my happy feelings to myself.,Positive Expressivity,positive_expressivity,PA1,0.5153182478559285,0.5153182478559285,PA7,0.49205619818996793,0.49205619818996793,0.02326204966596057,FALSE,TRUE
a3,Shout or scream when I'm angry.,Negative Expressivity,negative_expressivity,PA6,0.3848754078361772,0.3848754078361772,PA5,0.3200079885896327,0.3200079885896327,0.06486741924654449,FALSE,TRUE
a14,Can't help but look upset when something bad happens.,Negative Expressivity,negative_expressivity,PA5,0.5261992460021508,0.5261992460021508,PA7,0.2077175353216564,0.2077175353216564,0.31848171068049447,FALSE,FALSE
a54,Show my fear.,Negative Expressivity,negative_expressivity,PA5,0.48091680679024856,0.48091680679024856,PA3,0.265867579027508,0.265867579027508,0.21504922776274055,FALSE,FALSE
a80,Suspect that my facial expressions give me away when I feel sad.,Negative Expressivity,negative_expressivity,PA5,0.45429974432543946,0.45429974432543946,PA7,0.31436451490385237,0.31436451490385237,0.1399352294215871,FALSE,TRUE
a101,Show my sadness.,Negative Expressivity,negative_expressivity,PA5,0.45625055164789974,0.45625055164789974,PA3,0.3660013690551017,0.3660013690551017,0.09024918259279802,FALSE,TRUE
a10,"Keep my feelings to myself, regardless of how unhappy I am.",Negative Expressivity,negative_expressivity,PA6,0.5811394885944351,0.5811394885944351,PA1,0.33318764203422546,0.33318764203422546,0.24795184656020963,FALSE,TRUE
a12,Find it difficult showing people that I'm angry with them.,Negative Expressivity,negative_expressivity,PA6,0.5015786037655338,0.5015786037655338,PA1,0.1577410828382838,0.1577410828382838,0.34383752092724995,FALSE,FALSE
a130,"Keep my feelings to myself, regardless of how scared I am.",Negative Expressivity,negative_expressivity,PA6,0.5278742860764222,0.5278742860764222,PA1,0.29314301487847566,0.29314301487847566,0.2347312711979465,FALSE,FALSE
a66,Rarely show my anger.,Negative Expressivity,negative_expressivity,PA6,0.6281077699734631,0.6281077699734631,PA5,0.35614081106778667,0.35614081106778667,0.2719669589056764,FALSE,TRUE
a28,Wish I could more easily show my negative feelings.,Negative Expressivity,negative_expressivity,PA6,0.4759726065437277,0.4759726065437277,PA1,0.2461572024646175,0.2461572024646175,0.2298154040791102,FALSE,FALSE
a33,Think about the causes of my emotions.,Attending to Emotions,attending_to_emotions,PA3,0.6711925535094001,0.6711925535094001,PA2,0.21219993286216365,0.21219993286216365,0.45899262064723645,FALSE,FALSE
a116,Pay a lot of attention to my feelings.,Attending to Emotions,attending_to_emotions,PA3,0.7464694710615799,0.7464694710615799,PA5,0.3190911265579237,0.3190911265579237,0.4273783445036562,FALSE,TRUE
a122,Am usually aware of the way that I'm feeling.,Attending to Emotions,attending_to_emotions,PA3,0.31522691744574827,0.31522691744574827,PA1,0.2605005635911071,0.2605005635911071,0.05472635385464114,FALSE,FALSE
a134,Notice my emotions.,Attending to Emotions,attending_to_emotions,PA3,0.6917474678428037,0.6917474678428037,PA1,0.36105135098479546,0.36105135098479546,0.33069611685800826,FALSE,TRUE
a142,Often stop to analyze how I'm feeling.,Attending to Emotions,attending_to_emotions,PA3,0.6796428322184532,0.6796428322184532,PA7,0.2132189907560773,0.2132189907560773,0.4664238414623759,FALSE,FALSE
a87,Rarely think about how I feel.,Attending to Emotions,attending_to_emotions,PA3,0.6200199471922815,0.6200199471922815,PA6,0.24102687250727123,0.24102687250727123,0.37899307468501026,FALSE,FALSE
a106,Rarely analyze my emotions.,Attending to Emotions,attending_to_emotions,PA3,0.666610515097777,0.666610515097777,PA1,0.16033338447312154,0.16033338447312154,0.5062771306246555,FALSE,FALSE
e9,Am not in touch with my feelings.,Attending to Emotions,attending_to_emotions,PA1,0.4167779573864984,0.4167779573864984,PA3,0.2944112601369885,0.2944112601369885,0.12236669724950994,FALSE,FALSE
x183,Often ignore my feelings.,Attending to Emotions,attending_to_emotions,PA3,0.3692975605372434,0.3692975605372434,PA1,0.2955863696022637,0.2955863696022637,0.07371119093497969,FALSE,FALSE
x10,Rarely notice my emotional reactions.,Attending to Emotions,attending_to_emotions,PA3,0.5089159525246957,0.5089159525246957,PA1,0.3160627358111962,0.3160627358111962,0.19285321671349948,FALSE,TRUE
a15,Listen to my feelings when making important decisions.,Emotion-Based Decision-Making,emotion_based_decision_making,PA3,0.38088165666085766,0.38088165666085766,PA1,0.30673028094254445,0.30673028094254445,0.0741513757183132,FALSE,TRUE
a26,"Base my goals in life on inspiration, rather than logic.",Emotion-Based Decision-Making,emotion_based_decision_making,PA4,0.5349282962622628,0.5349282962622628,PA3,0.24896917974153102,0.24896917974153102,0.2859591165207318,FALSE,FALSE
a69,Plan my life based on how I feel.,Emotion-Based Decision-Making,emotion_based_decision_making,PA3,0.3408326379227398,0.3408326379227398,PA4,0.32442787484595514,0.32442787484595514,0.01640476307678468,FALSE,TRUE
a124,Believe that emotions give direction to life.,Emotion-Based Decision-Making,emotion_based_decision_making,PA3,0.4383284885270881,0.4383284885270881,PA7,0.2740238253785413,0.2740238253785413,0.1643046631485468,FALSE,FALSE
x199,Listen to my heart rather than my brain.,Emotion-Based Decision-Making,emotion_based_decision_making,PA4,0.3737322201794523,0.3737322201794523,PA5,0.2629518079137755,0.2629518079137755,0.11078041226567681,FALSE,FALSE
a97,Plan my life logically.,Emotion-Based Decision-Making,emotion_based_decision_making,PA4,0.5601951017909358,0.5601951017909358,PA5,0.09684266512080811,0.09684266512080811,0.4633524366701277,FALSE,FALSE
a6,Believe that important decisions should be based on logical reasoning.,Emotion-Based Decision-Making,emotion_based_decision_making,PA4,0.6100125783710926,0.6100125783710926,PA1,0.09131164902914644,0.09131164902914644,0.5187009293419461,FALSE,FALSE
h378,Listen to my brain rather than my heart.,Emotion-Based Decision-Making,emotion_based_decision_making,PA4,0.46324548422134504,0.46324548422134504,PA1,0.33183282075118337,0.33183282075118337,0.13141266347016167,FALSE,TRUE
a113,"Make decisions based on facts, not feelings.",Emotion-Based Decision-Making,emotion_based_decision_making,PA4,0.6215172166203222,0.6215172166203222,PA3,0.2792989412988163,0.2792989412988163,0.34221827532150595,FALSE,FALSE
a1,Like to watch children open presents.,Responsive Joy,responsive_joy,PA7,0.3099512468467871,0.3099512468467871,PA2,0.2363573533703517,0.2363573533703517,0.07359389347643538,FALSE,FALSE
a16,Usually end up laughing if the people around me are laughing.,Responsive Joy,responsive_joy,PA7,0.6065649511995912,0.6065649511995912,PA1,0.2727220954528304,0.2727220954528304,0.3338428557467608,FALSE,FALSE
a63,Feel other people's joy.,Responsive Joy,responsive_joy,PA7,0.5513358804719555,0.5513358804719555,PA1,0.45757000778799295,0.45757000778799295,0.09376587268396253,FALSE,TRUE
a71,Get caught up in the excitement when others are celebrating.,Responsive Joy,responsive_joy,PA7,0.6922196580702029,0.6922196580702029,PA1,0.3216225082453874,0.3216225082453874,0.3705971498248155,FALSE,TRUE
a72,Am strongly influenced by the good moods of others.,Responsive Joy,responsive_joy,PA7,0.6018518971523209,0.6018518971523209,PA3,0.28762601174833996,0.28762601174833996,0.31422588540398094,FALSE,FALSE
a76,Find it hard to stay in a bad mood if the people around me are happy.,Responsive Joy,responsive_joy,PA7,0.4744247217833559,0.4744247217833559,PA2,0.139344923397061,0.139344923397061,0.33507979838629487,FALSE,FALSE
a2,Dislike being around happy people when I'm feeling sad.,Responsive Joy,responsive_joy,PA7,0.2456919175811988,0.2456919175811988,PA1,0.2171794805224315,0.2171794805224315,0.028512437058767298,TRUE,FALSE
a11,Am unaffected by other people's happiness.,Responsive Joy,responsive_joy,PA7,0.3182931298347545,0.3182931298347545,PA1,0.26639967415331245,0.26639967415331245,0.05189345568144205,FALSE,FALSE
a13,Rarely get caught up in the excitement.,Responsive Joy,responsive_joy,PA7,0.5467956820792896,0.5467956820792896,PA1,0.34437328991456606,0.34437328991456606,0.20242239216472357,FALSE,TRUE
a42,Dislike children's birthday parties.,Responsive Joy,responsive_joy,PA2,0.28797930301091174,0.28797930301091174,PA7,0.24739415905091533,0.24739415905091533,0.040585143959996406,TRUE,FALSE
x253,Am deeply moved by others' misfortunes.,Responsive Distress,responsive_distress,PA2,0.4372538453559259,0.4372538453559259,PA1,0.32263493498478996,0.32263493498478996,0.11461891037113592,FALSE,TRUE
h992,Am easily moved to tears.,Responsive Distress,responsive_distress,PA5,0.5069096597495714,0.5069096597495714,PA3,0.3155775181277833,0.3155775181277833,0.19133214162178808,FALSE,TRUE
h988,Suffer from others' sorrows.,Responsive Distress,responsive_distress,PA2,0.40522196808001404,0.40522196808001404,PA5,0.3853066874200187,0.3853066874200187,0.019915280659995316,FALSE,TRUE
a135,Am upset by the misfortunes of strangers.,Responsive Distress,responsive_distress,PA2,0.4874574693673887,0.4874574693673887,PA7,0.3292869619950973,0.3292869619950973,0.15817050737229138,FALSE,TRUE
a46,Would be upset if I saw an injured animal.,Responsive Distress,responsive_distress,PA2,0.29178297364539785,0.29178297364539785,PA7,0.2862816380943576,0.2862816380943576,0.005501335551040265,TRUE,FALSE
e64,Am calm even in tense situations.,Responsive Distress,responsive_distress,PA5,0.5130141348743981,0.5130141348743981,PA6,0.18271588673544856,0.18271588673544856,0.3302982481389495,FALSE,FALSE
h1046,Am not easily disturbed by events.,Responsive Distress,responsive_distress,PA5,0.3463814754255385,0.3463814754255385,PA3,0.22985818463122148,0.22985818463122148,0.116523290794317,FALSE,FALSE
a67,Am unaffected by the suffering of others.,Responsive Distress,responsive_distress,PA2,0.44845793604943096,0.44845793604943096,PA1,0.24826000450466792,0.24826000450466792,0.20019793154476304,FALSE,FALSE
a56,Rarely cry during sad movies.,Responsive Distress,responsive_distress,PA5,0.36589663989569776,0.36589663989569776,PA7,0.3558181541676696,0.3558181541676696,0.010078485728028164,FALSE,TRUE
a128,Remain calm during emergencies.,Responsive Distress,responsive_distress,PA5,0.4642908391637525,0.4642908391637525,PA4,0.177594413376786,0.177594413376786,0.2866964257869665,FALSE,FALSE
h1100,Am concerned about others.,Empathic Concern,empathic_concern,PA1,0.42738190335947357,0.42738190335947357,PA2,0.3671706841295475,0.3671706841295475,0.06021121922992606,FALSE,TRUE
e115,Feel sympathy for those who are worse off than myself.,Empathic Concern,empathic_concern,PA2,0.5848678110203737,0.5848678110203737,PA1,0.2531295703309618,0.2531295703309618,0.3317382406894119,FALSE,FALSE
x259,Sympathize with the homeless.,Empathic Concern,empathic_concern,PA2,0.6974770207104368,0.6974770207104368,PA3,0.20600733561523837,0.20600733561523837,0.49146968509519845,FALSE,FALSE
x219,Believe that criminals should receive help rather than punishment.,Empathic Concern,empathic_concern,PA2,0.42892824201475693,0.42892824201475693,PA4,0.17883471947805366,0.17883471947805366,0.25009352253670325,FALSE,FALSE
a24,Believe that the poor deserve our sympathy.,Empathic Concern,empathic_concern,PA2,0.5830875733163927,0.5830875733163927,PA7,0.1749046429689581,0.1749046429689581,0.4081829303474346,FALSE,FALSE
x244,Feel little concern for others.,Empathic Concern,empathic_concern,PA2,0.4867912604987992,0.4867912604987992,PA1,0.4849199159266094,0.4849199159266094,0.001871344572189848,FALSE,TRUE
e169,Have no sympathy for criminals.,Empathic Concern,empathic_concern,PA2,0.4379667590056914,0.4379667590056914,PA4,0.2878245944042189,0.2878245944042189,0.15014216460147245,FALSE,FALSE
h435,Look down on any weakness.,Empathic Concern,empathic_concern,PA2,0.2713263782223464,0.2713263782223464,PA1,0.2617582877128517,0.2617582877128517,0.009568090509494698,TRUE,FALSE
x103,Don't like to get involved in other people's problems.,Empathic Concern,empathic_concern,PA2,0.3007596874925482,0.3007596874925482,PA1,0.27915839274528104,0.27915839274528104,0.021601294747267186,FALSE,FALSE
a51,Have little sympathy for the unemployed.,Empathic Concern,empathic_concern,PA2,0.605809927706567,0.605809927706567,PA3,0.1882970360605214,0.1882970360605214,0.41751289164604566,FALSE,FALSE
